Variable,Parents,ParentConfig,Low,Mid,High
Temperature,,(no-parents),0,3326481031582882,0,3662399551485704,0,3011119416931415
Humidity,Temperature,Temperature=High,0,7958107059736229,0,19239720713731576,0,011792086889061288
Humidity,Temperature,Temperature=Mid,0,2747799464217375,0,4700854700854701,0,25513458349279244
Humidity,Temperature,Temperature=Low,0,007303370786516854,0,2747191011235955,0,7179775280898877
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=Low|HarvestHostvete=Low|HarvestSlattervallTotal=Missing,0,0,1
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=Mid|HarvestHostvete=Mid|HarvestSlattervallTotal=Missing,0,56,0,44,0
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=Mid|HarvestHostvete=Mid|HarvestSlattervallTotal=High,0,18571428571428572,0,6714285714285714,0,14285714285714285
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=Low|HarvestHostvete=Mid|HarvestSlattervallTotal=High,0,25,0,6785714285714286,0,07142857142857142
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=Mid|HarvestHostvete=High|HarvestSlattervallTotal=High,0,4,0,3114754098360656,0,28852459016393445
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=Low|HarvestHostvete=Mid|HarvestSlattervallTotal=High,0,0,6666666666666666,0,3333333333333333
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=Low|HarvestHostvete=High|HarvestSlattervallTotal=High,0,44497991967871486,0,4650602409638554,0,08995983935742972
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=Mid|HarvestHostvete=Mid|HarvestSlattervallTotal=High,0,2894736842105263,0,47368421052631576,0,23684210526315788
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=High|HarvestHostvete=Low|HarvestSlattervallTotal=Missing,0,0,1
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=Low|HarvestHostvete=Low|HarvestSlattervallTotal=Low,0,0,23809523809523808,0,7619047619047619
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=High|HarvestHostvete=Mid|HarvestSlattervallTotal=High,1,0,0
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Mid|Humidity=High|HarvestHostvete=Mid|HarvestSlattervallTotal=Missing,0,6,0,4,0
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=Low|HarvestHostvete=Mid|HarvestSlattervallTotal=Low,0,0,1
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=High|HarvestHostvete=Mid|HarvestSlattervallTotal=Missing,0,85,0,15,0
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=High|Humidity=High|HarvestHostvete=Mid|HarvestSlattervallTotal=High,1,0,0
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=Mid|HarvestHostvete=High|HarvestSlattervallTotal=High,0,8728813559322034,0,1271186440677966,0
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=High|HarvestHostvete=High|HarvestSlattervallTotal=High,0,9761904761904762,0,023809523809523808,0
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=Low|HarvestHostvete=Missing|HarvestSlattervallTotal=Missing,0,0,1
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=Low|HarvestHostvete=Missing|HarvestSlattervallTotal=Low,0,42857142857142855,0,2857142857142857,0,2857142857142857
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=Low|HarvestHostvete=High|HarvestSlattervallTotal=High,0,7,0,3,0
DistCoast,Temperature,Humidity,HarvestHostvete,HarvestSlattervallTotal,Temperature=Low|Humidity=Mid|HarvestHostvete=Low|HarvestSlattervallTotal=Missing,0,0,1
