Variable,Parents,ParentConfig,Low,Mid,High
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Low|DistRidge=Low|HarvestSlattervallTotal=Mid,0,6470588235294118,0,35294117647058826,0
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Low|DistRidge=Mid|HarvestSlattervallTotal=Mid,0,6428571428571429,0,35714285714285715,0
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Missing|DistRidge=Missing|HarvestSlattervallTotal=High,1,0,0
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Low|DistRidge=High|HarvestSlattervallTotal=Mid,0,875,0,0625,0,0625
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=High|DistRidge=Low|HarvestSlattervallTotal=Mid,1,0,0
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Missing|DistRidge=Missing|HarvestSlattervallTotal=Mid,0,875,0,0,125
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Missing|DistRidge=High|HarvestSlattervallTotal=Low,0,0,1
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=High|DistRidge=High|HarvestSlattervallTotal=High,0,15384615384615385,0,5384615384615384,0,3076923076923077
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Mid|DistRidge=Missing|HarvestSlattervallTotal=High,0,6470588235294118,0,35294117647058826,0
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Low|DistRidge=Missing|HarvestSlattervallTotal=Missing,0,0,1
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Low|DistRidge=High|HarvestSlattervallTotal=High,0,23076923076923078,0,46153846153846156,0,3076923076923077
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Mid|DistRidge=High|HarvestSlattervallTotal=Missing,0,125,0,375,0,5
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=Mid|DistRidge=Missing|HarvestSlattervallTotal=Missing,0,15384615384615385,0,07692307692307693,0,7692307692307693
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=High|DistRidge=Missing|HarvestSlattervallTotal=Missing,0,3333333333333333,0,0,6666666666666666
DistCoast,SoilDepthMeters,DistRidge,HarvestSlattervallTotal,SoilDepthMeters=High|DistRidge=Low|HarvestSlattervallTotal=Missing,0,0,1
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Low|HarvestSlattervallTotal=Mid|GlobalDensity=Mid,0,3811659192825112,0,05829596412556054,0,5605381165919282
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Low|HarvestSlattervallTotal=Low|GlobalDensity=Low,0,40942028985507245,0,2427536231884058,0,34782608695652173
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Low|HarvestSlattervallTotal=Low|GlobalDensity=Mid,0,6093023255813953,0,2837209302325581,0,10697674418604651
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Low|HarvestSlattervallTotal=High|GlobalDensity=Low,0,025396825396825397,0,4,0,5746031746031746
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Low|HarvestSlattervallTotal=Mid|GlobalDensity=Low,0,010638297872340425,0,24468085106382978,0,7446808510638298
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Mid|HarvestSlattervallTotal=Mid|GlobalDensity=Mid,0,04659498207885305,0,06810035842293907,0,8853046594982079
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Low|HarvestSlattervallTotal=Mid|GlobalDensity=High,0,20634920634920634,0,25396825396825395,0,5396825396825397
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Mid|HarvestSlattervallTotal=Low|GlobalDensity=Mid,0,4778761061946903,0,3893805309734513,0,13274336283185842
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Low|HarvestSlattervallTotal=Low|GlobalDensity=High,0,5938009787928222,0,3572593800978793,0,048939641109298535
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Mid|HarvestSlattervallTotal=Low|GlobalDensity=High,0,7213622291021672,0,2043343653250774,0,07430340557275542
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Mid|HarvestSlattervallTotal=High|GlobalDensity=Mid,0,2983425414364641,0,4088397790055249,0,292817679558011
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Low|HarvestSlattervallTotal=Missing|GlobalDensity=Mid,0,13793103448275862,0,39080459770114945,0,47126436781609193
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Mid|HarvestSlattervallTotal=High|GlobalDensity=Low,0,23918575063613232,0,638676844783715,0,12213740458015267
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Mid|HarvestSlattervallTotal=Missing|GlobalDensity=Mid,0,13636363636363635,0,22727272727272727,0,6363636363636364
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Low|HarvestSlattervallTotal=High|GlobalDensity=Mid,0,2727272727272727,0,21212121212121213,0,5151515151515151
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Low|HarvestSlattervallTotal=High|GlobalDensity=High,0,2033898305084746,0,559322033898305,0,23728813559322035
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Mid|HarvestSlattervallTotal=Low|GlobalDensity=Low,0,4153498871331828,0,2708803611738149,0,31376975169300225
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Mid|HarvestSlattervallTotal=Mid|GlobalDensity=Low,0,0,21212121212121213,0,7878787878787878
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Mid|HarvestSlattervallTotal=Mid|GlobalDensity=High,0,13333333333333333,0,18518518518518517,0,6814814814814815
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=High|HarvestSlattervallTotal=High|GlobalDensity=Mid,0,3783783783783784,0,36486486486486486,0,25675675675675674
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Low|HarvestSlattervallTotal=Missing|GlobalDensity=High,0,2818181818181818,0,6181818181818182,0,1
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=High|HarvestSlattervallTotal=Low|GlobalDensity=Low,0,6776859504132231,0,10743801652892562,0,21487603305785125
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=High|HarvestSlattervallTotal=High|GlobalDensity=Low,0,7777777777777778,0,21929824561403508,0,0029239766081871343
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Mid|HarvestSlattervallTotal=Missing|GlobalDensity=High,0,11904761904761904,0,4523809523809524,0,42857142857142855
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=High|HarvestSlattervallTotal=Missing|GlobalDensity=Low,1,0,0
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Mid|HarvestSlattervallTotal=Missing|GlobalDensity=Low,0,6,0,0,4
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=High|HarvestSlattervallTotal=Mid|GlobalDensity=Mid,0,5857461024498887,0,14253897550111358,0,2717149220489978
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=High|HarvestSlattervallTotal=Low|GlobalDensity=Mid,0,5733788395904437,0,4129692832764505,0,013651877133105802
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=High|HarvestSlattervallTotal=Mid|GlobalDensity=High,0,3992248062015504,0,2441860465116279,0,35658914728682173
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=High|HarvestSlattervallTotal=Low|GlobalDensity=High,0,715962441314554,0,25821596244131456,0,025821596244131457
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=Mid|HarvestSlattervallTotal=High|GlobalDensity=High,0,058823529411764705,0,6470588235294118,0,29411764705882354
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=High|HarvestSlattervallTotal=Missing|GlobalDensity=Mid,0,6037735849056604,0,18867924528301888,0,20754716981132076
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=High|HarvestSlattervallTotal=Mid|GlobalDensity=Low,0,9692307692307692,0,015384615384615385,0,015384615384615385
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=High|HarvestSlattervallTotal=High|GlobalDensity=High,0,5,0,42857142857142855,0,07142857142857142
Wind,Humidity,HarvestSlattervallTotal,GlobalDensity,Humidity=High|HarvestSlattervallTotal=Missing|GlobalDensity=High,0,52,0,36,0,12
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=Mid|HarvestHostvete=Mid|Lat=Low,0,2736842105263158,0,24736842105263157,0,4789473684210526
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=Mid|HarvestHostvete=Missing|Lat=High,0,8811881188118812,0,10891089108910891,0,009900990099009901
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=High|HarvestHostvete=Low|Lat=High,0,6639344262295082,0,14754098360655737,0,1885245901639344
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=High|HarvestHostvete=High|Lat=High,0,22935779816513763,0,7706422018348624,0
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=Low|HarvestHostvete=Low|Lat=Mid,0,1125,0,2375,0,65
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=Mid|HarvestHostvete=Low|Lat=Mid,0,0,2328767123287671,0,7671232876712328
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=High|HarvestHostvete=Low|Lat=Mid,0,17197452229299362,0,1624203821656051,0,6656050955414012
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=High|HarvestHostvete=Mid|Lat=Mid,1,0,0
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=Low|HarvestHostvete=Mid|Lat=Low,0,20202020202020202,0,40404040404040403,0,3939393939393939
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=Mid|HarvestHostvete=High|Lat=High,0,6326530612244898,0,19727891156462585,0,17006802721088435
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=Low|HarvestHostvete=High|Lat=Mid,0,44,0,4,0,16
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=Mid|HarvestHostvete=High|Lat=Mid,0,6,0,3333333333333333,0,06666666666666667
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=Low|HarvestHostvete=Mid|Lat=Mid,0,2826086956521739,0,717391304347826,0
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=Low|HarvestHostvete=Missing|Lat=High,0,3669724770642202,0,28440366972477066,0,3486238532110092
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=High|HarvestHostvete=Mid|Lat=Low,0,7450980392156863,0,058823529411764705,0,19607843137254902
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=High|HarvestHostvete=Missing|Lat=High,0,9,0,05,0,05
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=Mid|HarvestHostvete=Low|Lat=Low,0,0,7341772151898734,0,26582278481012656
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=Low|HarvestHostvete=Low|Lat=Low,0,03875968992248062,0,7674418604651163,0,1937984496124031
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=High|HarvestHostvete=Missing|Lat=Low,0,0,9,0,1
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=Low|HarvestHostvete=High|Lat=High,0,5,0,32407407407407407,0,17592592592592593
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=Mid|HarvestHostvete=Mid|Lat=Mid,0,8823529411764706,0,11764705882352941,0
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=Mid|HarvestHostvete=Missing|Lat=Low,0,1,0
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=High|HarvestHostvete=Low|Lat=Low,0,11764705882352941,0,7647058823529411,0,11764705882352941
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=High|HarvestHostvete=High|Lat=Mid,0,1,0
DirCoast,DistCoast,HarvestHostvete,Lat,DistCoast=Low|HarvestHostvete=Missing|Lat=Low,0,0,1
